Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
Ringling College of Art and DesignSpecial-Focus | FL,116,30.20%,0.00%,1.70%,0.90%,2.60%,0.00%,93.10%,0.00%,1.70%,0.00%,5.20%
Benedictine CollegeBaccalaureate | KS,116,31.00%,0.00%,1.70%,0.00%,0.00%,0.00%,85.30%,0.90%,12.10%,0.00%,2.60%
West Kentucky Community and Technical CollegeAssociate | KY,116,62.10%,0.00%,1.70%,6.00%,0.90%,0.00%,84.50%,0.90%,6.00%,0.00%,9.50%
Washington CollegeBaccalaureate | MD,116,53.40%,2.60%,7.80%,3.50%,5.20%,0.90%,80.20%,0.00%,0.00%,0.00%,19.80%
Chamberlain College of Nursing at Addison (Ill.)Special-Focus | IL,116,84.50%,0.90%,10.30%,14.70%,2.60%,0.00%,64.70%,0.00%,6.90%,0.00%,28.40%
Alamance Community CollegeAssociate | NC,116,58.60%,0.00%,0.00%,11.20%,0.90%,0.00%,87.90%,0.00%,0.00%,0.00%,12.10%
Eastern UniversityMaster's | PA,116,55.20%,0.00%,5.20%,11.20%,3.50%,0.00%,79.30%,0.90%,0.00%,0.00%,20.70%
Piedmont Technical CollegeAssociate | SC,116,56.00%,0.00%,0.90%,13.80%,1.70%,0.00%,81.90%,0.00%,0.00%,1.70%,16.40%
Massasoit Community CollegeAssociate | MA,115,58.30%,0.90%,3.50%,8.70%,0.00%,0.90%,85.20%,0.00%,0.90%,0.00%,13.90%
College of the MainlandAssociate | TX,115,51.30%,2.60%,5.20%,13.00%,9.60%,0.00%,68.70%,0.90%,0.00%,0.00%,31.30%
Vista CollegeAssociate | TX,115,72.20%,0.00%,0.90%,25.20%,19.10%,0.00%,37.40%,4.30%,13.00%,0.00%,49.60%
Massachusetts College of Art and DesignSpecial-Focus | MA,114,52.60%,0.00%,6.10%,8.80%,2.60%,0.00%,55.30%,0.00%,27.20%,0.00%,17.50%
Davenport UniversityMaster's | MI,114,66.70%,0.00%,2.60%,4.40%,3.50%,0.00%,87.70%,1.80%,0.00%,0.00%,12.30%
Southeastern Oklahoma State UniversityMaster's | OK,114,41.20%,4.40%,5.30%,1.80%,1.80%,0.00%,78.10%,5.30%,0.00%,3.50%,18.40%
Alvernia UniversityMaster's | PA,114,58.80%,0.90%,7.00%,0.90%,1.80%,0.00%,88.60%,0.00%,0.00%,0.90%,10.50%
Washington & Jefferson CollegeBaccalaureate | PA,114,50.00%,0.90%,9.70%,2.60%,1.80%,0.00%,84.20%,0.90%,0.00%,0.00%,15.80%
York Technical CollegeAssociate | SC,114,53.50%,0.00%,0.00%,20.20%,0.90%,6.10%,72.80%,0.00%,0.00%,0.00%,27.20%
Roane State Community CollegeAssociate | TN,114,61.40%,0.00%,2.60%,4.40%,3.50%,0.00%,86.00%,2.60%,0.00%,0.90%,13.20%
Evergreen Valley CollegeAssociate | CA,114,63.20%,0.00%,28.90%,7.00%,24.60%,0.00%,31.60%,1.80%,5.30%,0.90%,62.30%
Gordon College (Ga.)Baccalaureate | GA,114,48.30%,0.00%,3.50%,17.50%,0.00%,0.90%,76.30%,0.90%,0.00%,0.90%,22.80%
Gwinnett Technical CollegeAssociate | GA,114,57.90%,0.00%,7.90%,27.20%,0.00%,0.00%,64.00%,0.00%,0.90%,0.00%,35.10%
Camden County CollegeAssociate | NJ,114,57.00%,0.90%,2.60%,10.50%,1.80%,0.00%,84.20%,0.00%,0.00%,0.00%,15.80%
Finger Lakes Community CollegeAssociate | NY,114,47.40%,0.00%,1.80%,2.60%,0.00%,1.80%,91.20%,0.00%,2.60%,0.00%,6.10%
Manhattanville CollegeMaster's | NY,114,51.70%,0.90%,5.30%,4.40%,3.50%,0.00%,79.80%,0.90%,5.30%,0.00%,14.90%
Sarah Lawrence CollegeBaccalaureate | NY,114,47.40%,0.00%,6.10%,7.90%,4.40%,0.00%,76.30%,0.00%,0.90%,4.40%,18.40%
Nash Community CollegeAssociate | NC,114,62.30%,0.90%,0.00%,15.80%,1.80%,0.00%,81.60%,0.00%,0.00%,0.00%,18.40%
Park UniversityMaster's | MO,113,51.30%,0.90%,7.10%,3.50%,0.90%,0.00%,85.00%,2.60%,0.00%,0.00%,15.00%
Johnston Community CollegeAssociate | NC,113,62.80%,0.00%,0.90%,6.20%,4.40%,0.00%,85.00%,0.00%,3.50%,0.00%,11.50%
Marietta CollegeBaccalaureate | OH,113,42.50%,0.00%,4.40%,0.90%,0.90%,0.00%,93.80%,0.00%,0.00%,0.00%,6.20%
Columbia State Community CollegeAssociate | TN,113,61.10%,0.00%,3.50%,5.30%,0.00%,0.00%,90.30%,0.00%,0.90%,0.00%,8.80%
Alvin Community CollegeAssociate | TX,113,55.80%,0.90%,0.90%,7.10%,7.10%,0.90%,81.40%,0.00%,1.80%,0.00%,16.80%
LeTourneau UniversityMaster's | TX,113,20.30%,0.00%,3.50%,5.30%,0.90%,0.00%,89.40%,0.90%,0.00%,0.00%,10.60%
Thomas Nelson Community CollegeAssociate | VA,113,59.30%,0.90%,2.60%,15.00%,2.60%,0.00%,77.00%,1.80%,0.00%,0.00%,23.00%
Lincoln Land Community CollegeAssociate | IL,113,54.90%,0.00%,1.80%,5.30%,1.80%,0.00%,89.40%,0.90%,0.90%,0.00%,9.70%
Kettering UniversityMaster's | MI,113,29.20%,3.50%,0.00%,7.10%,4.40%,10.60%,69.00%,0.90%,0.90%,3.50%,26.60%
Los Angeles Harbor CollegeAssociate | CA,113,54.00%,0.00%,13.30%,8.00%,21.20%,0.90%,38.00%,0.00%,18.60%,0.00%,43.40%
Colorado Mountain CollegeBaccalaureate | CO,113,49.60%,0.00%,1.80%,0.00%,5.30%,0.00%,83.20%,0.90%,8.80%,0.00%,8.00%
Northeastern University Global NetworkMaster's | MA,113,60.20%,0.00%,1.80%,8.00%,0.90%,0.00%,73.50%,3.50%,9.70%,2.60%,14.20%
North Lake CollegeAssociate | TX,112,49.10%,0.90%,8.90%,17.90%,8.00%,0.00%,56.30%,3.60%,3.60%,0.90%,39.30%
Southwestern University (Tex.)Baccalaureate | TX,112,53.60%,0.90%,5.40%,2.70%,12.50%,0.00%,75.90%,0.00%,1.80%,0.90%,21.40%
Drury UniversityMaster's | MO,112,41.10%,0.00%,3.60%,0.90%,1.80%,0.00%,87.50%,1.80%,0.00%,4.50%,8.00%
Saint Peter's UniversityMaster's | NJ,112,48.20%,0.00%,5.40%,7.10%,7.10%,0.00%,80.40%,0.00%,0.00%,0.00%,19.60%
Claflin UniversityBaccalaureate | SC,112,43.80%,0.00%,21.40%,47.30%,1.80%,0.00%,25.00%,0.00%,0.90%,3.60%,70.50%
Angelina CollegeAssociate | TX,112,57.10%,0.00%,1.80%,9.80%,4.50%,0.00%,83.90%,0.00%,0.00%,0.00%,16.10%
Grayson CollegeAssociate | TX,112,62.50%,4.50%,1.80%,3.60%,1.80%,0.00%,79.50%,6.30%,2.70%,0.00%,17.90%
University of West AlabamaMaster's | AL,112,57.10%,0.90%,3.60%,17.90%,0.00%,0.00%,75.90%,0.00%,0.00%,1.80%,22.30%
Bevill State Community CollegeAssociate | AL,112,54.50%,0.00%,0.00%,8.00%,0.00%,0.00%,91.10%,0.00%,0.90%,0.00%,8.00%
Cuyamaca CollegeAssociate | CA,112,57.10%,0.90%,6.30%,2.70%,14.30%,0.00%,67.90%,0.00%,1.80%,6.30%,24.10%
Knox CollegeBaccalaureate | IL,112,40.20%,0.00%,1.80%,6.30%,3.60%,0.00%,83.00%,0.90%,0.90%,3.60%,12.50%
Lindsey Wilson CollegeMaster's | KY,112,50.90%,0.00%,0.90%,2.70%,1.80%,0.00%,93.80%,0.00%,0.90%,0.00%,5.40%
Hampshire CollegeBaccalaureate | MA,112,53.60%,0.00%,4.50%,9.80%,7.10%,0.00%,69.60%,3.60%,1.80%,3.60%,25.00%
Kalamazoo CollegeBaccalaureate | MI,112,49.10%,0.90%,3.60%,4.50%,10.70%,0.00%,71.40%,1.80%,4.50%,2.70%,21.40%
Rochester Community and Technical CollegeAssociate | MN,111,52.30%,0.00%,3.60%,0.00%,0.90%,0.00%,94.60%,0.90%,0.00%,0.00%,5.40%
Unitek CollegeSpecial-Focus | CA,111,82.00%,0.00%,39.60%,9.00%,7.20%,0.00%,28.80%,9.90%,5.40%,0.00%,65.80%
John Tyler Community CollegeAssociate | VA,111,60.40%,0.00%,4.50%,14.40%,1.80%,0.00%,77.50%,1.80%,0.00%,0.00%,22.50%
Oakwood UniversityBaccalaureate | AL,111,44.10%,0.00%,4.50%,82.00%,4.50%,0.90%,4.50%,0.00%,0.00%,3.60%,91.90%
Harvey Mudd CollegeBaccalaureate | CA,111,40.50%,0.00%,15.30%,2.70%,5.40%,0.00%,70.30%,3.60%,2.70%,0.00%,27.00%
Albany Technical CollegeAssociate | GA,111,64.00%,0.00%,0.90%,72.10%,0.00%,0.00%,27.00%,0.00%,0.00%,0.00%,73.00%
Oklahoma State University Institute of Technology at OkmulgeeBaccalaureate | OK,111,30.60%,8.10%,0.90%,1.80%,3.60%,0.00%,81.10%,2.70%,0.00%,1.80%,17.10%
Hawkeye Community CollegeAssociate | IA,110,49.10%,0.00%,0.90%,1.80%,0.90%,0.00%,95.50%,0.00%,0.00%,0.90%,3.60%
Mississippi Valley State UniversityMaster's | MS,110,51.80%,0.00%,10.90%,70.00%,0.00%,0.00%,16.40%,0.00%,2.70%,0.00%,80.90%
Hendrix CollegeBaccalaureate | AR,110,46.40%,0.00%,0.90%,0.90%,4.50%,0.00%,90.00%,2.70%,0.00%,0.90%,9.10%
Concordia University (Calif.)Master's | CA,110,48.20%,0.90%,6.40%,1.80%,6.40%,0.00%,82.70%,0.00%,1.80%,0.00%,15.40%
Aims Community CollegeAssociate | CO,110,55.50%,0.00%,0.90%,0.90%,6.40%,0.00%,90.90%,0.90%,0.00%,0.00%,9.10%
Flager College at St. Augustine (Fla.)Baccalaureate | FL,110,53.60%,0.00%,5.50%,4.50%,1.80%,0.00%,80.00%,2.70%,5.50%,0.00%,14.50%
Alliant International University at San DiegoDoctoral | CA,109,51.40%,0.00%,11.90%,3.70%,7.30%,0.00%,47.70%,0.90%,28.40%,0.00%,23.80%
Community College of DenverAssociate | CO,109,53.20%,0.00%,7.30%,5.50%,6.40%,0.00%,79.80%,0.00%,0.90%,0.00%,19.30%
Southern Crescent Technical CollegeAssociate | GA,109,50.50%,0.00%,1.80%,30.30%,0.90%,0.00%,67.00%,0.00%,0.00%,0.00%,33.00%
"City Colleges of Chicago, Malcolm X CollegeAssociate | IL",109,70.60%,0.00%,14.70%,43.10%,4.60%,0.00%,33.90%,0.90%,2.80%,0.00%,63.30%
Endicott CollegeMaster's | MA,109,60.60%,0.00%,5.50%,3.70%,0.90%,0.00%,67.90%,4.60%,17.40%,0.00%,14.70%
Moreno Valley CollegeAssociate | CA,109,61.50%,0.90%,10.10%,8.30%,19.30%,0.00%,53.20%,3.70%,0.00%,4.60%,42.20%
Eastern Oregon UniversityMaster's | OR,109,45.00%,0.00%,2.80%,0.90%,2.80%,0.00%,92.70%,0.00%,0.90%,0.00%,6.40%
Lake Area Technical InstituteAssociate | SD,109,41.30%,0.00%,0.00%,0.00%,0.90%,0.00%,99.10%,0.00%,0.00%,0.00%,0.90%
Mercer County Community CollegeAssociate | NJ,109,52.30%,0.00%,2.80%,10.10%,1.80%,0.00%,85.30%,0.00%,0.00%,0.00%,14.70%
St. Charles Community CollegeAssociate | MO,109,64.20%,0.00%,2.80%,2.80%,1.80%,0.00%,89.00%,2.80%,0.00%,0.90%,10.10%
Gateway Community CollegeAssociate | AZ,108,62.00%,1.80%,2.80%,5.60%,7.40%,0.00%,75.00%,0.90%,6.50%,0.00%,18.50%
Anderson University (Ind.)Master's | IN,108,46.30%,0.00%,3.70%,3.70%,2.80%,0.00%,88.00%,1.80%,0.00%,0.00%,12.00%
Indiana University EastMaster's | IN,108,61.10%,1.80%,10.20%,1.80%,1.80%,0.00%,81.50%,0.90%,0.90%,0.90%,16.70%
Iowa Western Community CollegeAssociate | IA,108,48.10%,0.00%,0.00%,0.00%,0.90%,0.00%,93.50%,0.90%,3.70%,0.90%,1.80%
Notre Dame of Maryland UniversityMaster's | MD,107,71.00%,0.00%,5.60%,5.60%,5.60%,0.00%,82.20%,0.90%,0.00%,0.00%,17.80%
Arkansas State University at BeebeAssociate | AR,107,51.40%,1.90%,1.90%,2.80%,0.90%,0.00%,92.50%,0.00%,0.00%,0.00%,7.50%
Los Angeles Mission CollegeAssociate | CA,107,58.90%,0.90%,11.20%,4.70%,28.00%,0.00%,47.70%,0.00%,5.60%,1.90%,44.90%
College of Coastal GeorgiaBaccalaureate | GA,107,58.90%,0.00%,0.90%,9.30%,2.80%,0.00%,82.20%,1.90%,1.90%,0.90%,14.90%
University of Hawaii Honolulu Community CollegeAssociate | HI,107,41.10%,1.90%,45.80%,0.90%,2.80%,10.30%,29.90%,6.50%,0.00%,1.90%,68.20%
Randolph-Macon CollegeBaccalaureate | VA,107,52.30%,0.00%,1.90%,4.70%,0.00%,0.90%,88.80%,0.00%,0.00%,3.70%,7.50%
University of Virginia's College at WiseBaccalaureate | VA,107,42.10%,0.00%,6.50%,2.80%,2.80%,0.00%,87.80%,0.00%,0.00%,0.00%,12.20%
Nebraska Wesleyan UniversityMaster's | NE,107,57.90%,0.00%,1.90%,1.90%,0.90%,0.00%,94.40%,0.00%,0.00%,0.90%,4.70%
Hondros CollegeSpecial-Focus | OH,107,86.00%,0.00%,0.90%,9.30%,0.90%,0.00%,77.60%,2.80%,8.40%,0.00%,14.00%
Benedict CollegeBaccalaureate | SC,107,45.80%,0.00%,0.00%,67.30%,0.00%,0.00%,10.30%,0.00%,22.40%,0.00%,67.30%
University of the ArtsSpecial-Focus | PA,106,42.40%,0.00%,2.80%,6.60%,3.80%,0.00%,76.40%,1.90%,8.50%,0.00%,15.10%
Austin CollegeBaccalaureate | TX,106,40.60%,2.80%,5.70%,3.80%,5.70%,0.00%,80.20%,0.00%,0.90%,0.90%,17.90%
Dominican University of CaliforniaMaster's | CA,106,55.70%,0.00%,12.30%,4.70%,4.70%,0.00%,68.90%,0.90%,8.50%,0.00%,22.60%
Fresno Pacific UniversityMaster's | CA,106,48.10%,0.00%,6.60%,1.90%,7.50%,0.00%,82.10%,1.90%,0.00%,0.00%,17.90%
Gateway Community College (Conn.)Associate | CT,106,56.60%,0.00%,4.70%,9.40%,2.80%,0.90%,80.20%,1.90%,0.00%,0.00%,19.80%
Hood CollegeMaster's | MD,106,61.30%,0.00%,13.20%,7.50%,3.80%,0.00%,75.50%,0.00%,0.00%,0.00%,24.50%
Madonna UniversityMaster's | MI,106,78.30%,0.00%,1.90%,2.80%,0.00%,0.00%,95.30%,0.00%,0.00%,0.00%,4.70%
Wagner CollegeMaster's | NY,106,53.80%,0.00%,7.50%,2.80%,1.90%,0.00%,86.80%,0.90%,0.00%,0.00%,13.20%
Lenoir Community CollegeAssociate | NC,106,56.60%,0.00%,0.00%,11.30%,3.80%,0.00%,84.90%,0.00%,0.00%,0.00%,15.10%
Northern Wyoming Community College DistrictAssociate | WY,106,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
University of CharlestonMaster's | WV,105,67.60%,0.00%,3.80%,0.90%,2.90%,0.00%,90.50%,0.00%,1.90%,0.00%,7.60%
Estrella Mountain Community CollegeAssociate | AZ,105,57.10%,0.90%,5.70%,4.80%,17.10%,0.90%,66.70%,1.90%,1.90%,0.00%,31.40%
Yavapai CollegeAssociate | AZ,105,51.40%,0.00%,0.00%,0.90%,2.90%,0.00%,80.00%,0.00%,16.20%,0.00%,3.80%
California College of the ArtsSpecial-Focus | CA,105,51.40%,0.90%,14.30%,8.60%,9.50%,0.00%,59.10%,1.90%,2.90%,2.90%,35.20%
Kent State University-Stark (Ohio)Associate | OH,105,51.40%,0.00%,4.80%,1.90%,2.90%,0.00%,79.00%,0.00%,0.90%,10.50%,9.50%
Northern Oklahoma CollegeAssociate | OK,105,57.10%,1.90%,0.00%,0.00%,0.00%,0.00%,98.10%,0.00%,0.00%,0.00%,1.90%
Christian Brothers UniversityMaster's | TN,105,36.20%,0.90%,4.80%,1.90%,2.90%,0.00%,84.80%,0.00%,0.00%,4.80%,10.50%
Hennepin Technical CollegeAssociate | MN,105,39.10%,0.00%,0.90%,1.90%,2.90%,0.00%,93.30%,0.90%,0.00%,0.00%,6.70%
Union County CollegeAssociate | NJ,105,60.00%,0.00%,13.30%,13.30%,5.70%,0.00%,67.60%,0.00%,0.00%,0.00%,32.40%
State University of New York College of Agriculture and Technology at CobleskillBaccalaureate | NY,105,43.80%,0.00%,1.90%,2.90%,0.90%,0.90%,93.30%,0.00%,0.00%,0.00%,6.70%
United States Merchant Marine AcademyBaccalaureate | NY,105,14.30%,0.00%,6.70%,3.80%,1.90%,0.00%,87.60%,0.00%,0.00%,0.00%,12.40%
"City Colleges of Chicago, Harold Washington CollegeAssociate | IL",105,57.10%,0.00%,9.50%,21.90%,18.10%,0.00%,45.70%,1.90%,2.90%,0.00%,51.40%
Spalding UniversityDoctoral | KY,105,61.90%,0.90%,0.90%,6.70%,0.90%,0.00%,85.70%,0.90%,3.80%,0.00%,10.50%
Frederick Community CollegeAssociate | MD,105,61.00%,0.00%,5.70%,9.50%,1.90%,0.00%,81.90%,0.00%,0.90%,0.00%,17.10%
Lawrence Technological UniversityMaster's | MI,105,28.60%,0.90%,5.70%,1.90%,0.00%,0.00%,48.60%,0.90%,5.70%,36.20%,9.50%
Lake Land CollegeAssociate | IL,104,55.80%,0.00%,1.00%,1.00%,0.00%,0.00%,97.10%,0.00%,1.00%,0.00%,1.90%
Frontier Nursing UniversitySpecial-Focus | KY,104,97.10%,0.00%,1.00%,11.50%,0.00%,0.00%,86.50%,1.00%,0.00%,0.00%,13.50%
Baltimore City Community CollegeAssociate | MD,104,56.70%,0.00%,3.90%,61.50%,0.00%,0.00%,22.10%,0.00%,0.00%,12.50%,65.40%
Mountain View CollegeAssociate | TX,104,44.20%,1.90%,6.70%,24.00%,13.50%,0.00%,51.00%,0.00%,2.90%,0.00%,46.20%
Lakeshore Technical CollegeAssociate | WI,104,51.90%,0.00%,2.90%,0.00%,1.00%,0.00%,96.20%,0.00%,0.00%,0.00%,3.90%
Viterbo UniversityMaster's | WI,104,61.50%,0.00%,1.90%,1.00%,1.00%,0.00%,96.20%,0.00%,0.00%,0.00%,3.90%
University of Northwestern OhioBaccalaureate | OH,104,18.30%,1.00%,2.90%,1.90%,0.00%,0.00%,91.30%,0.00%,2.90%,0.00%,5.80%
Albright CollegeBaccalaureate | PA,104,51.00%,1.00%,4.80%,4.80%,5.80%,0.00%,78.80%,0.00%,4.80%,0.00%,16.40%
Central State UniversityBaccalaureate | OH,103,37.90%,1.00%,20.40%,41.80%,1.90%,0.00%,32.00%,0.00%,2.90%,0.00%,65.00%
Saint Vincent CollegeBaccalaureate | PA,103,32.00%,0.00%,1.90%,1.00%,1.00%,0.00%,75.70%,1.00%,19.40%,0.00%,4.90%
Dakota State UniversityMaster's | SD,103,34.00%,1.90%,5.80%,0.00%,0.00%,0.00%,87.40%,0.00%,0.00%,4.90%,7.80%
New England Conservatory of MusicSpecial-Focus | MA,103,34.00%,0.00%,7.80%,1.00%,0.00%,0.00%,79.60%,1.00%,10.70%,0.00%,9.70%
University of North Texas at DallasMaster's | TX,103,49.50%,1.00%,10.70%,16.50%,9.70%,0.00%,57.30%,1.00%,1.90%,1.90%,38.80%
University of Alaska-SoutheastMaster's | AK,103,46.60%,4.90%,0.00%,0.00%,1.90%,0.00%,85.40%,1.90%,3.90%,1.90%,8.70%
Lanier Technical CollegeAssociate | GA,103,50.50%,0.00%,3.90%,7.80%,3.90%,0.00%,84.50%,0.00%,0.00%,0.00%,15.50%
Sul Ross State UniversityMaster's | TX,103,44.70%,1.00%,1.90%,1.90%,26.20%,0.00%,61.20%,1.00%,0.00%,6.80%,32.00%
Hampden-Sydney CollegeBaccalaureate | VA,103,30.10%,0.00%,1.90%,1.00%,3.90%,0.00%,93.20%,0.00%,0.00%,0.00%,6.80%
Edward Via College of Osteopathic MedicineSpecial-Focus | VA,103,40.80%,0.00%,10.70%,6.80%,1.90%,0.00%,78.60%,0.00%,1.90%,0.00%,19.40%
Copiah-Lincoln Community CollegeAssociate | MS,103,58.30%,0.00%,1.90%,12.60%,0.00%,0.00%,84.50%,0.00%,0.00%,1.00%,14.60%
Western New Mexico UniversityMaster's | NM,103,56.30%,2.90%,4.90%,1.90%,22.30%,0.00%,54.40%,0.00%,13.60%,0.00%,32.00%
North Dakota State College of ScienceAssociate | ND,102,42.20%,1.00%,0.00%,0.00%,1.00%,0.00%,97.10%,0.00%,1.00%,0.00%,2.00%
Lake Forest CollegeBaccalaureate | IL,102,48.00%,0.00%,5.90%,5.90%,7.80%,0.00%,73.50%,2.90%,0.00%,3.90%,22.60%
Lewis and Clark Community CollegeAssociate | IL,102,54.90%,1.00%,2.00%,4.90%,1.00%,0.00%,91.20%,0.00%,0.00%,0.00%,8.80%
University of St. Francis (Ill.)Master's | IL,102,64.70%,0.00%,3.90%,7.80%,4.90%,0.00%,83.30%,0.00%,0.00%,0.00%,16.70%
Waubonsee Community CollegeAssociate | IL,102,53.90%,0.00%,4.90%,3.90%,2.00%,0.00%,80.40%,1.00%,4.90%,2.90%,11.80%
Spring Arbor UniversityMaster's | MI,102,47.10%,0.00%,4.90%,12.80%,0.00%,0.00%,82.30%,0.00%,0.00%,0.00%,17.60%
Our Lady of the Lake UniversityMaster's | TX,102,66.70%,0.00%,2.90%,5.90%,31.40%,0.00%,56.90%,0.00%,0.00%,2.90%,40.20%
Athens Technical CollegeAssociate | GA,102,57.80%,0.00%,1.00%,16.70%,0.00%,0.00%,82.30%,0.00%,0.00%,0.00%,17.60%
Ouachita Baptist UniversityBaccalaureate | AR,102,39.20%,0.00%,2.00%,0.00%,2.90%,0.00%,94.10%,0.00%,0.00%,1.00%,4.90%
Arapahoe Community CollegeAssociate | CO,102,63.70%,0.00%,1.00%,0.00%,3.90%,0.00%,85.30%,0.00%,9.80%,0.00%,4.90%
Cochise CollegeAssociate | AZ,101,56.40%,1.00%,3.00%,3.00%,8.90%,0.00%,80.20%,2.00%,2.00%,0.00%,17.80%
El Camino College at ComptonAssociate | CA,101,55.50%,0.00%,11.90%,31.70%,19.80%,0.00%,34.60%,1.00%,1.00%,0.00%,64.40%
Contra Costa CollegeAssociate | CA,101,59.40%,0.00%,12.90%,17.80%,14.80%,2.00%,41.60%,4.00%,5.90%,1.00%,51.50%
Savannah Technical CollegeAssociate | GA,101,46.50%,2.00%,1.00%,25.70%,2.00%,0.00%,69.30%,0.00%,0.00%,0.00%,30.70%
Rogers State UniversityBaccalaureate | OK,101,49.50%,7.90%,4.00%,2.00%,2.00%,0.00%,80.20%,0.00%,1.00%,3.00%,15.80%
Presbyterian CollegeBaccalaureate | SC,101,47.50%,0.00%,5.00%,5.00%,1.00%,0.00%,89.10%,0.00%,0.00%,0.00%,10.90%
Touro University CaliforniaSpecial-Focus | CA,101,66.30%,2.00%,10.90%,8.90%,6.90%,0.00%,65.30%,1.00%,5.00%,0.00%,29.70%
Hudson County Community CollegeAssociate | NJ,101,47.50%,0.00%,10.90%,9.90%,7.90%,2.00%,65.30%,3.00%,1.00%,0.00%,33.70%
Black Hawk CollegeAssociate | IL,101,58.40%,0.00%,3.00%,3.00%,2.00%,0.00%,90.10%,1.00%,1.00%,0.00%,8.90%
Central CollegeBaccalaureate | IA,101,49.50%,0.00%,3.00%,3.00%,3.00%,0.00%,88.10%,0.00%,0.00%,3.00%,8.90%
Harford Community CollegeAssociate | MD,100,63.00%,0.00%,2.00%,6.00%,1.00%,0.00%,91.00%,0.00%,0.00%,0.00%,9.00%
Norco CollegeAssociate | CA,100,56.00%,0.00%,5.00%,7.00%,17.00%,0.00%,66.00%,3.00%,0.00%,2.00%,32.00%
Pitzer CollegeBaccalaureate | CA,100,62.00%,0.00%,10.00%,3.00%,20.00%,1.00%,54.00%,1.00%,11.00%,0.00%,35.00%
Fort Valley State UniversityMaster's | GA,100,44.00%,0.00%,23.00%,56.00%,1.00%,0.00%,18.00%,0.00%,1.00%,1.00%,80.00%
Carlow UniversityMaster's | PA,100,77.00%,0.00%,2.00%,3.00%,2.00%,0.00%,93.00%,0.00%,0.00%,0.00%,7.00%
Luzerne County Community CollegeAssociate | PA,100,50.00%,0.00%,2.00%,1.00%,0.00%,0.00%,97.00%,0.00%,0.00%,0.00%,3.00%
Seton Hill UniversityMaster's | PA,100,55.00%,0.00%,1.00%,3.00%,0.00%,0.00%,96.00%,0.00%,0.00%,0.00%,4.00%
Southeast Technical InstituteAssociate | SD,100,52.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Saint Mary's University of MinnesotaMaster's | MN,100,38.00%,0.00%,2.00%,3.00%,1.00%,0.00%,87.00%,1.00%,5.00%,1.00%,7.00%
Mississippi Delta Community CollegeAssociate | MS,100,65.00%,0.00%,2.00%,13.00%,0.00%,0.00%,85.00%,0.00%,0.00%,0.00%,15.00%
College of the OzarksBaccalaureate | MO,100,42.00%,0.00%,0.00%,0.00%,1.00%,0.00%,99.00%,0.00%,0.00%,0.00%,1.00%
American Musical and Dramatic AcademySpecial-Focus | NY,100,40.00%,0.00%,2.00%,2.00%,3.00%,0.00%,89.00%,0.00%,4.00%,0.00%,7.00%
Emory & Henry CollegeBaccalaureate | VA,100,57.00%,0.00%,2.00%,2.00%,2.00%,0.00%,92.00%,1.00%,1.00%,0.00%,7.00%
Bates Technical CollegeAssociate | WA,100,45.00%,1.00%,9.00%,7.00%,1.00%,0.00%,78.00%,4.00%,0.00%,0.00%,22.00%
Skagit Valley CollegeAssociate | WA,100,59.00%,1.00%,2.00%,0.00%,5.00%,0.00%,90.00%,1.00%,0.00%,1.00%,9.00%
Walla Walla UniversityMaster's | WA,99,42.40%,0.00%,2.00%,4.00%,5.10%,0.00%,83.80%,0.00%,5.10%,0.00%,11.10%
Triton CollegeAssociate | IL,99,55.60%,2.00%,4.00%,9.10%,6.10%,0.00%,75.80%,0.00%,3.00%,0.00%,21.20%
Northeast Iowa Community CollegeAssociate | IA,99,52.50%,0.00%,0.00%,0.00%,0.00%,0.00%,98.00%,0.00%,2.00%,0.00%,0.00%
Alma CollegeBaccalaureate | MI,99,46.50%,0.00%,8.10%,2.00%,3.00%,0.00%,86.90%,0.00%,0.00%,0.00%,13.10%
Saint Cloud Technical and Community CollegeAssociate | MN,99,44.40%,0.00%,4.00%,1.00%,3.00%,0.00%,90.90%,1.00%,0.00%,0.00%,9.10%
Rockland Community CollegeAssociate | NY,99,62.60%,0.00%,4.00%,6.10%,5.10%,0.00%,82.80%,2.00%,0.00%,0.00%,17.20%
Surry Community CollegeAssociate | NC,99,62.60%,0.00%,1.00%,2.00%,1.00%,0.00%,95.00%,0.00%,1.00%,0.00%,4.00%
College of Mount St. JosephMaster's | OH,99,63.60%,0.00%,1.00%,2.00%,1.00%,0.00%,85.90%,2.00%,8.10%,0.00%,6.10%
Motlow State Community CollegeAssociate | TN,99,55.60%,0.00%,1.00%,12.10%,2.00%,0.00%,81.80%,1.00%,1.00%,1.00%,16.20%
Trevecca Nazarene UniversityDoctoral | TN,99,39.40%,0.00%,3.00%,4.00%,0.00%,0.00%,88.90%,1.00%,3.00%,0.00%,8.10%
Muskingum UniversityMaster's | OH,98,48.00%,0.00%,6.10%,1.00%,2.00%,0.00%,90.80%,0.00%,0.00%,0.00%,9.20%
